assay_id,nearest_desc_train_assay_id,nearest_desc_tfidf_cosine,nearest_raw_train_assay_id,nearest_raw_tfidf_cosine,nearest_biolord_train_assay_id,nearest_biolord_cosine,max_hit_jaccard_train_assay_id,max_hit_jaccard,ASSAY_NAME,ASSAY_TYPE,READOUT_TYPE,Total_Samples,Positive_Rate,toxicity_or_cell_count_like
10_20,106_392,0.19546979418334798,167_539,0.20717258073402378,181_600,0.7646049,106_392,0.4,BacterialViability.FluorProt.485/538,bacterial,fluorescence,64,0.046875,True
104_291,104_300,0.44209350035357614,104_289,0.6207070485213172,104_300,0.9380981,104_289,0.8181818181818182,MODYCellProfiling.FluorDye.Resazurin,cell,luminescence,53,0.18867924528301888,False
104_297,104_323,0.3607999510538915,104_323,0.6486839347331526,104_295,0.94277716,104_325,0.6,MODYCellProfiling.FluorDye.Resazurin,cell,luminescence,34,0.08823529411764706,False
105_341,105_352,0.34923823786884056,105_378,0.61384570233094,105_374,0.89630866,104_289,0.7142857142857143,MODYCellProfiling.Lumin.CTG,cell,luminescence,53,0.2641509433962264,True
105_382,105_385,0.3075363290148372,105_378,0.61384570233094,105_378,0.9396382,105_352,0.8666666666666667,MODYCellProfiling.Lumin.CTG,cell,luminescence,53,0.2830188679245283,True
105_391,105_355,0.34081979692393866,105_377,0.6120162121593911,105_369,0.9136345,105_385,0.5,MODYCellProfiling.Lumin.CTG,cell,luminescence,34,0.08823529411764706,True
11_21,11_22,0.2843500737064431,11_22,0.7489209911774244,11_22,0.6424208,11_22,0.4,BacterialViability.Lumin.BTG,bacterial,BactTiterGlo bacteria viability assay,33,0.09090909090909091,True
110_400,110_398,0.29575110173371055,110_399,0.6660611837873703,110_397,0.93195856,110_399,0.36363636363636365,NOXFamilySignaling.FluorDye.AmplexRed,cell,fluorescence,168,0.02976190476190476,False
116_413,116_426,0.45094728233273806,116_412,0.5833849214038056,116_412,0.9584887,110_396,0.3333333333333333,Phosphodiesterase.Absorb.600,yeast,absorbance,57,0.05263157894736842,False
116_414,116_426,0.37975701445596577,116_412,0.5833849214038056,116_424,0.9546524,53_178,0.5,Phosphodiesterase.Absorb.600,yeast,absorbance,57,0.017543859649122806,False
116_415,116_426,0.3581717948361055,116_412,0.5833849214038056,116_425,0.9390253,168_541,0.25,Phosphodiesterase.Absorb.600,yeast,absorbance,39,0.1794871794871795,False
16_27,14_25,0.4149943656178975,18_29,0.7197004623985523,15_26,0.91075456,14_25,0.6111111111111112,BetaCateninSignaling.FluorDye.PosNucW2_Int,cell,fluorescence,62,0.20967741935483872,False
169_545,169_549,0.24836916603147494,169_548,0.7682621161622395,169_549,0.8033702,143_495,0.25,WntSignalling.Lumin.Lux-Duo,cell,luminescence,74,0.08108108108108109,False
17_28,18_29,0.4285369561807643,18_29,0.7197004623985523,12_23,0.9173628,83_245,0.5,BetaCateninSignaling.FluorDye.PosW2,cell,fluorescence,51,0.0196078431372549,False
170_550,170_551,0.2701898315754009,170_551,0.6739837923919949,170_551,0.91540885,169_548,0.25,WntSignalling.Lumin.Lux-FF/Ren,cell,LuxReporter,52,0.09615384615384616,False
175_559,118_432,0.2681368270931414,42_103,0.2840446016212855,118_432,0.81604403,168_541,0.3333333333333333,YeastGrowthInhibition.Absorb.600,cell,absorbance,31,0.03225806451612903,True
178_684,178_591,0.2684617376744732,178_591,0.6145378594439819,234_707,0.7361721,183_604,0.20212765957446807,MITF,cell,luminescence,953,0.07135362014690451,False
180_686,179_659,0.2977762437060924,179_659,0.6535108474450965,179_659,0.82411397,193_723,0.10989010989010989,AntifungalDrugResistance,fungal,fluorescence,597,0.08542713567839195,True
184_606,196_644,0.14231588603390213,202_661,0.11965855426042639,187_619,0.7151815,183_604,0.25510204081632654,STK33,cell,luminescence,952,0.0819327731092437,True
19_30,14_25,0.42637778327457304,18_29,0.7197004623985523,15_26,0.90688366,15_26,0.6,BetaCateninSignaling.FluorDye.TotPos,cell,fluorescence,51,0.19607843137254902,False
191_630,264_742,0.2324888595965631,191_631,0.6863351004441892,240_714,0.6967586,191_631,0.5818181818181818,MLPCNRanGTPinhibitor,biochem,fluorescence,2764,0.016642547033285094,False
191_675,264_742,0.12442288296489408,191_631,0.6545433425011778,239_713,0.6886109,191_631,0.13636363636363635,MLPCNRanGTPinhibitor,biochem,fluorescence,1072,0.008395522388059701,False
197_648,197_647,0.3854067606041007,197_647,1.0,197_646,0.923174,145_497,0.3333333333333333,LSD1,biochem,fluorescence,94,0.0425531914893617,False
197_649,197_647,0.3343973337325474,197_647,1.0,197_647,0.8998806,197_645,0.40865384615384615,LSD1,biochem,fluorescence,1830,0.11366120218579236,False
197_650,197_646,0.3107678441986264,197_647,1.0,197_646,0.9187268,197_646,0.34444444444444444,LSD1,biochem,fluorescence,1830,0.04918032786885246,False
198_682,193_723,0.255222296818366,193_723,0.2645853602051254,192_635,0.7764752,236_709,0.14482758620689656,MLPCNBetaCellApoptosis,cell,luminescence,1781,0.06850084222346996,True
200_658,9_14,0.12424046967263044,181_599,0.09392550238186204,216_687,0.5774834,193_723,0.018867924528301886,LSC,cell,fluorescence,24,0.16666666666666666,True
217_689,217_688,0.3089985787966164,217_688,0.8089118503958503,217_688,0.86318475,193_723,0.1919191919191919,MLPCN Streptokinase expression,bacterial,luminescence,1652,0.04116222760290557,False
219_691,249_724,0.12635930724618008,195_642,0.15229997897607464,267_745,0.7161067,195_642,0.15172413793103448,MLPCN RTT109,biochem,fluorescence,1854,0.01779935275080906,False
224_696,84_246,0.07804928727525798,181_600,0.16053719855450557,181_600,0.67382514,217_688,0.05725190839694656,MLPCN Topoisomerase 1 Y. pestis,bacterial,fluorescence,2232,0.04435483870967742,False
228_700,167_539,0.08890749112979056,258_736,0.13197061384071257,275_754,0.57578504,169_549,0.07792207792207792,Sonic hedgehog signalling,biochem,fluorescence,781,0.07426376440460948,False
229_701,217_688,0.13529513345570454,257_735,0.13315088009212048,217_688,0.68075573,257_735,0.3481675392670157,MLPCN Alpha-Synuclein 5'UTR,cell,luminescence,3469,0.09195733640818679,False
232_704,232_705,0.3658646590141256,232_705,0.823579565495266,232_705,0.79880965,217_688,0.15331010452961671,MLPCN Cancer Stem Cells,cell,luminescence,1768,0.08653846153846154,True
244_718,227_699,0.19050275390864543,227_699,0.46294504540694487,227_699,0.6459295,274_752,0.027777777777777776,MLPCN ERp5,biochem,absorbance,13427,0.005809190437178819,False
247_721,220_692,0.13354818781405592,209_676,0.16328964076763786,220_692,0.6526704,220_692,0.03571428571428571,MLPCN PHGDH,biochem,fluorescence,12892,0.012565932361154204,False
250_726,216_687,0.1273264612532597,183_604,0.25182047445946637,249_724,0.6944592,249_724,0.019736842105263157,GPR85,cell,luminescence,3192,0.014097744360902255,False
259_737,258_736,0.4068915123908285,258_736,0.7041673274589928,258_736,0.815877,210_677,0.03125,MLPCN CAL PDZ,biochem,fluorescence,7162,0.00502652890254119,False
268_746,246_720,0.2217911296700272,246_720,0.23367302737643666,108_394,0.58512604,221_693,0.03629536921151439,MCL-1 DSF,biochem,fluorescence,12354,0.03213534078031407,False
269_747,231_703,0.13655061698334045,236_709,0.21774408326645545,26_37,0.7376161,261_739,0.057692307692307696,MLPCN Insulin Secretion,cell,luminescence,15076,0.040196338551339875,False
271_749,105_378,0.11609075767374674,251_727,0.11106388319696525,169_549,0.7165001,257_735,0.20612813370473537,MLPCN iPSC Wnt-B-catenin,cell,luminescence,1650,0.14363636363636365,False
281_760,240_714,0.13687273510457107,279_758,0.11034735364857709,264_742,0.64930373,191_631,0.16071428571428573,MLPCN CaV1.3,cell,fluorescence,1919,0.012506513809275664,False
37_74,37_77,0.45150967611252457,37_77,0.7045124954437091,37_77,0.9166012,8_13,0.3333333333333333,CardiovascularProfiling.FluorDye.JC1Mito,cell,fluorescence,34,0.08823529411764706,False
42_104,42_103,0.22944365786788393,42_103,0.7945516383930642,42_103,0.7585304,42_103,0.5,CellMetabolicProfiling.Absorb.MTTStain,cell,absorbance,31,0.06451612903225806,False
7_10,7_11,0.3673458799193259,7_11,0.7481313351774507,7_11,0.9268839,145_497,0.25,AspulvinoneRegulation.Absorb.405,bacterial,colorimetric metabolite detection,32,0.03125,False
70_211,86_249,0.154297992076896,145_497,0.15060803258259378,274_752,0.666493,170_551,0.25,CyclicAMPSignaling.Reporter.cAMP-EBX1,cell,LuxReporter,61,0.04918032786885246,False
76_230,100_277,0.09635775417644617,143_495,0.13237848231099786,100_277,0.64193296,53_178,0.5,eCadherinSignaling.Lumin.CTG,biochem,Luminescence,48,0.020833333333333332,True
78_237,105_360,0.17917392632128634,105_377,0.1256822485314198,100_277,0.5196359,49_149,1.0,ErythroidSurvival.Lumin.CTG,cell,CellTiterGlo,32,0.03125,True
82_243,82_242,0.3325524375577537,82_242,0.5125078736838187,82_242,0.80293125,112_406,0.75,GenotypeProfiling.FluorDye.Resazurin,cell,fluorescence,27,0.14814814814814814,False
83_244,83_245,0.3544865663003638,83_245,0.8143067164847944,83_245,0.8596974,3_3,0.5,GlutamateDehydrogenase.Absorb.360,biochem,absorbance,70,0.014285714285714285,False
85_247,85_248,0.34245996387402744,85_248,0.8134444666770055,85_248,0.8023012,117_429,0.4166666666666667,GSISyntheticLethality.FluorDye.Resazurin,cell,fluorescence,44,0.38636363636363635,False
86_250,86_249,0.32595251034898226,86_249,0.7019245490056725,86_249,0.8801013,53_178,0.3333333333333333,HairlessSignaling.Reporter.Lux-Hrl,cell,Luminescence,31,0.06451612903225806,False
88_252,115_409,0.09663309330897629,106_392,0.15983263098095782,153_510,0.6567497,134_476,1.0,HeatShockModulation.FluorProt.HSE-GFP,cell,fluorescence,99,0.010101010101010102,False
88_254,273_751,0.1245656320740096,106_392,0.148121527191329,194_639,0.5725889,82_242,0.26666666666666666,HeatShockModulation.FluorProt.HSE-GFP,cell,fluorescence,60,0.13333333333333333,False
92_258,91_257,0.3784213457745472,91_257,0.36779262386950196,91_257,0.8991812,91_257,0.8181818181818182,HepatitisCInfectivity.Reporter.Lux-Feo,cell,LuxReporter,32,0.34375,False
