fraction,split_name,assay_id,assay_type,auroc,auprc,test_set_length,num_actives,num_inactives,n_train_compounds,n_valid_compounds_unused,n_test_compounds,n_train_labels,n_train_pos,n_train_neg,feature,model,constant_fallback
0.1%,K10,10_20,bacterial,,,25,2,23,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,104_291,cell,,,18,2,16,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,104_297,cell,,,11,1,10,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,105_341,cell,,,18,3,15,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,105_382,cell,,,18,5,13,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,105_391,cell,,,11,1,10,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,11_21,bacterial,,,10,3,7,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,110_400,cell,,,49,2,47,10,12934,3226,1,0,1,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,116_413,yeast,,,21,2,19,10,12934,3226,1,0,1,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,116_414,yeast,,,21,1,20,10,12934,3226,1,0,1,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,116_415,yeast,,,10,4,6,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,16_27,cell,,,18,5,13,10,12934,3226,1,0,1,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,169_545,cell,,,27,5,22,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,17_28,cell,,,15,1,14,10,12934,3226,1,0,1,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,170_550,cell,,,20,2,18,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,175_559,cell,,,10,1,9,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,178_684,cell,,,220,22,198,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,180_686,fungal,,,153,14,139,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,184_606,cell,,,220,30,190,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,19_30,cell,,,15,4,11,10,12934,3226,1,0,1,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,191_630,biochem,,,550,15,535,10,12934,3226,2,0,2,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,191_675,biochem,,,184,2,182,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,197_648,biochem,,,31,2,29,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,197_649,biochem,,,318,47,271,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,197_650,biochem,,,318,23,295,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,198_682,cell,,,391,24,367,10,12934,3226,2,0,2,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,200_658,cell,,,9,2,7,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,217_689,bacterial,,,312,22,290,10,12934,3226,1,0,1,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,219_691,biochem,,,409,10,399,10,12934,3226,3,0,3,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,224_696,bacterial,,,482,27,455,10,12934,3226,3,0,3,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,228_700,biochem,,,172,20,152,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,229_701,cell,,,715,67,648,10,12934,3226,3,0,3,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,232_704,cell,,,395,32,363,10,12934,3226,2,0,2,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,244_718,biochem,,,2613,17,2596,10,12934,3226,9,0,9,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,247_721,biochem,,,2538,37,2501,10,12934,3226,6,0,6,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,250_726,cell,,,387,5,382,10,12934,3226,4,0,4,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,259_737,biochem,,,1238,3,1235,10,12934,3226,3,0,3,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,268_746,biochem,,,2385,74,2311,10,12934,3226,6,0,6,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,269_747,cell,0.47576166976416884,0.05113708249622499,2981,157,2824,10,12934,3226,10,1,9,Cells_Number_Object_Number,per_assay_lr,False
0.1%,K10,271_749,cell,0.4436018309762929,0.14607604455656176,338,51,287,10,12934,3226,3,1,2,Cells_Number_Object_Number,per_assay_lr,False
0.1%,K10,281_760,cell,,,404,6,398,10,12934,3226,3,0,3,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,37_74,cell,,,11,2,9,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,42_104,cell,,,10,1,9,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,7_10,bacterial,,,11,1,10,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,70_211,cell,,,17,1,16,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,76_230,biochem,,,19,1,18,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,78_237,cell,,,7,1,6,10,12934,3226,1,0,1,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,82_243,cell,,,8,3,5,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,83_244,biochem,,,18,1,17,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,85_247,cell,,,15,7,8,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,86_250,cell,,,10,1,9,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,88_252,cell,,,32,1,31,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,88_254,cell,,,21,5,16,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
0.1%,K10,92_258,cell,,,11,5,6,10,12934,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,10_20,bacterial,,,25,2,23,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,104_291,cell,,,18,2,16,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,104_297,cell,,,11,1,10,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,105_341,cell,,,18,3,15,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,105_382,cell,,,18,5,13,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,105_391,cell,,,11,1,10,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,11_21,bacterial,,,10,3,7,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,110_400,cell,,,49,2,47,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,116_413,yeast,,,21,2,19,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,116_414,yeast,,,21,1,20,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,116_415,yeast,,,10,4,6,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,16_27,cell,,,18,5,13,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,169_545,cell,,,27,5,22,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,17_28,cell,,,15,1,14,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,170_550,cell,,,20,2,18,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,175_559,cell,,,10,1,9,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,178_684,cell,0.3846418732782369,0.10503441666764193,220,22,198,100,12844,3226,6,1,5,Cells_Number_Object_Number,per_assay_lr,False
1%,K100,180_686,fungal,,,153,14,139,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,184_606,cell,,,220,30,190,100,12844,3226,6,0,6,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,19_30,cell,,,15,4,11,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,191_630,biochem,,,550,15,535,100,12844,3226,31,0,31,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,191_675,biochem,,,184,2,182,100,12844,3226,14,0,14,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,197_648,biochem,,,31,2,29,100,12844,3226,0,0,0,Cells_Number_Object_Number,per_assay_lr,True
1%,K100,197_649,biochem,0.5244170526811651,0.19051982728572425,318,47,271,100,12844,3226,15,2,13,Cells_Number_Object_Number,per_assay_lr,False
