fraction,assay_type,n_assays,n_valid_assays,n_constant_fallback_assays,mean_auroc_valid,median_auroc_valid,mean_auprc_valid,mean_auroc,median_auroc,auroc_gt_0.9,auroc_gt_0.7,auroc_gt_0.5,fallback_auroc
0.1%,bacterial,5,0,5,,,,0.5,0.5,0,0,0,0.5
0.1%,cell,32,2,30,0.45968175037023085,0.45968175037023085,0.09860656352639338,0.49748010939813947,0.5,0,0,0,0.5
0.1%,yeast,3,0,3,,,,0.5,0.5,0,0,0,0.5
0.1%,fungal,1,0,1,,,,0.5,0.5,0,0,0,0.5
0.1%,biochem,13,0,13,,,,0.5,0.5,0,0,0,0.5
1%,bacterial,5,0,5,,,,0.5,0.5,0,0,0,0.5
1%,cell,32,6,26,0.47129852825618657,0.45286780327145215,0.12959961198199285,0.494618474048035,0.5,0,1,1,0.5
1%,yeast,3,0,3,,,,0.5,0.5,0,0,0,0.5
1%,fungal,1,0,1,,,,0.5,0.5,0,0,0,0.5
1%,biochem,13,3,10,0.48210916347264443,0.48098747236551215,0.09829969148958445,0.4958713454167641,0.5,0,0,1,0.5
10%,bacterial,5,3,2,0.49010871086083485,0.5071225071225072,0.10777050924354299,0.4940652265165008,0.5,0,0,2,0.5
10%,cell,32,16,16,0.5901655447438605,0.6481082186742331,0.28719065473259975,0.5450827723719303,0.5,0,6,11,0.5
10%,yeast,3,1,2,0.4166666666666667,0.4166666666666667,0.39880952380952384,0.47222222222222227,0.5,0,0,0,0.5
10%,fungal,1,1,0,0.7178828365878726,0.7178828365878726,0.18189644497256466,0.7178828365878726,0.7178828365878726,0,1,1,0.5
10%,biochem,13,10,3,0.49576799955887274,0.49519712402243604,0.06782049441499086,0.4967446150452867,0.5,0,0,5,0.5
100%,bacterial,5,3,2,0.6205434934695304,0.6588557993730407,0.265270509243543,0.5723260960817182,0.5071225071225072,0,0,3,0.5
100%,cell,32,28,4,0.7070501105681153,0.7587412587412588,0.4318583573766019,0.6811688467471008,0.7379218319559229,3,17,25,0.5
100%,yeast,3,2,1,0.30043859649122806,0.30043859649122806,0.2423872180451128,0.3669590643274854,0.4166666666666667,0,0,0,0.5
100%,fungal,1,1,0,0.7178828365878726,0.7178828365878726,0.18189644497256466,0.7178828365878726,0.7178828365878726,0,1,1,0.5
100%,biochem,13,11,2,0.5478206863222744,0.5295950155763239,0.06497878971797601,0.5404636576573092,0.5190125276344879,0,0,8,0.5
