assay_id,assay_type,assay_name,nearest_train_assay_id,nearest_train_assay_type,nearest_train_assay_name,nearest_biolord_cosine,feature,threshold,direction,train_balanced_accuracy,train_binary_auroc,n_train_labels,n_train_pos,n_train_neg,test_set_length,num_actives,num_inactives,constant_fallback,auroc,auprc,balanced_accuracy,precision,recall,f1
10_20,bacterial,BacterialViability.FluorProt.485/538,181_600,bacterial,TBChemicalGenetics,0.7646049,Cells_Number_Object_Number,-8.73828125,high_cell_count_active,0.858974358974359,0.858974358974359,40,1,39,64,3,61,False,0.45355191256830596,0.04359567901234568,0.45355191256830596,0.037037037037037035,0.3333333333333333,0.06666666666666667
104_291,cell,MODYCellProfiling.FluorDye.Resazurin,104_300,cell,MODYCellProfiling.FluorDye.Resazurin,0.9380981,Cells_Number_Object_Number,-7.203125,low_cell_count_active,0.7954545454545454,0.7954545454545454,28,6,22,53,10,43,False,0.7209302325581395,0.29411764705882354,0.7209302325581395,0.29411764705882354,1.0,0.45454545454545453
104_297,cell,MODYCellProfiling.FluorDye.Resazurin,104_295,cell,MODYCellProfiling.FluorDye.Resazurin,0.94277716,Cells_Number_Object_Number,-34.34375,low_cell_count_active,0.9264705882352942,0.926470588235294,35,1,34,34,3,31,False,0.9516129032258064,0.5,0.9516129032258065,0.5,1.0,0.6666666666666666
105_341,cell,MODYCellProfiling.Lumin.CTG,105_374,cell,MODYCellProfiling.Lumin.CTG,0.89630866,Cells_Number_Object_Number,-14.5546875,low_cell_count_active,0.7480769230769231,0.7480769230769232,53,13,40,53,14,39,False,0.7133699633699633,0.40231805929919134,0.7133699633699634,0.44,0.7857142857142857,0.5641025641025641
105_382,cell,MODYCellProfiling.Lumin.CTG,105_378,cell,MODYCellProfiling.Lumin.CTG,0.9396382,Cells_Number_Object_Number,-26.00390625,low_cell_count_active,0.7132034632034632,0.7132034632034632,53,11,42,53,15,38,False,0.6807017543859649,0.44791309319611206,0.6807017543859649,0.6363636363636364,0.4666666666666667,0.5384615384615385
105_391,cell,MODYCellProfiling.Lumin.CTG,105_369,cell,MODYCellProfiling.Lumin.CTG,0.9136345,Cells_Number_Object_Number,-10.727644230769231,low_cell_count_active,0.73,0.73,54,4,50,34,3,31,False,0.7258064516129032,0.15,0.7258064516129032,0.15,1.0,0.2608695652173913
11_21,bacterial,BacterialViability.Lumin.BTG,11_22,bacterial,BacterialViability.Lumin.BTG,0.6424208,Cells_Number_Object_Number,-7.711177884615385,low_cell_count_active,0.6508620689655172,0.6508620689655172,33,4,29,33,3,30,False,0.6,0.11363636363636363,0.6,0.125,0.6666666666666666,0.21052631578947367
110_400,cell,NOXFamilySignaling.FluorDye.AmplexRed,110_397,cell,NOXFamilySignaling.FluorDye.AmplexRed,0.93195856,Cells_Number_Object_Number,2.02734375,high_cell_count_active,0.6025641025641026,0.6025641025641024,168,12,156,168,5,163,False,0.3404907975460123,0.02976190476190476,0.34049079754601225,0.0,0.0,0.0
116_413,yeast,Phosphodiesterase.Absorb.600,116_412,yeast,Phosphodiesterase.Absorb.600,0.9584887,Cells_Number_Object_Number,-3.15625,high_cell_count_active,0.6278735632183908,0.6278735632183908,128,12,116,57,3,54,False,0.6481481481481481,0.07814992025518341,0.6481481481481481,0.09090909090909091,0.6666666666666666,0.16
116_414,yeast,Phosphodiesterase.Absorb.600,116_424,yeast,Phosphodiesterase.Absorb.600,0.9546524,Cells_Number_Object_Number,-8.3984375,low_cell_count_active,0.7647058823529411,0.7647058823529411,73,5,68,57,1,56,False,0.2142857142857143,0.017543859649122806,0.21428571428571427,0.0,0.0,0.0
116_415,yeast,Phosphodiesterase.Absorb.600,116_425,yeast,Phosphodiesterase.Absorb.600,0.9390253,Cells_Number_Object_Number,-37.83984375,low_cell_count_active,0.6533333333333333,0.6533333333333333,78,3,75,39,7,32,False,0.5401785714285714,0.20146520146520147,0.5401785714285714,0.3333333333333333,0.14285714285714285,0.2
