Compound SMILES,Plate,Well,ch1_path,ch2_path,ch3_path,ch4_path,ch5_path
CC(=O)OCC(=O)[C@@]1(O)CCC2C3CC[C@@H]4C[C@@H](CC[C@]4(C)C3C(=O)C[C@]12C)OC(C)=O,24294,B01,s3://morphology_profiles/filtered_mp/24294-Hoechst/merged_24294-Hoechst_b01.tif,s3://morphology_profiles/filtered_mp/24294-ERSyto/merged_24294-ERSyto_b01.tif,s3://morphology_profiles/filtered_mp/24294-ERSytoBleed/merged_24294-ERSytoBleed_b01.tif,s3://morphology_profiles/filtered_mp/24294-Ph_golgi/merged_24294-Ph_golgi_b01.tif,s3://morphology_profiles/filtered_mp/24294-Mito/merged_24294-Mito_b01.tif
CC(=O)OCC(=O)[C@@]1(O)CCC2C3CC[C@@H]4C[C@@H](CC[C@]4(C)C3C(=O)C[C@]12C)OC(C)=O,24295,B01,s3://morphology_profiles/filtered_mp/24295-Hoechst/merged_24295-Hoechst_b01.tif,s3://morphology_profiles/filtered_mp/24295-ERSyto/merged_24295-ERSyto_b01.tif,s3://morphology_profiles/filtered_mp/24295-ERSytoBleed/merged_24295-ERSytoBleed_b01.tif,s3://morphology_profiles/filtered_mp/24295-Ph_golgi/merged_24295-Ph_golgi_b01.tif,s3://morphology_profiles/filtered_mp/24295-Mito/merged_24295-Mito_b01.tif
CC(=O)OCC(=O)[C@@]1(O)CCC2C3CC[C@@H]4C[C@@H](CC[C@]4(C)C3C(=O)C[C@]12C)OC(C)=O,24297,B01,s3://morphology_profiles/filtered_mp/24297-Hoechst/merged_24297-Hoechst_b01.tif,s3://morphology_profiles/filtered_mp/24297-ERSyto/merged_24297-ERSyto_b01.tif,s3://morphology_profiles/filtered_mp/24297-ERSytoBleed/merged_24297-ERSytoBleed_b01.tif,s3://morphology_profiles/filtered_mp/24297-Ph_golgi/merged_24297-Ph_golgi_b01.tif,s3://morphology_profiles/filtered_mp/24297-Mito/merged_24297-Mito_b01.tif
CC(=O)OCC(=O)[C@@]1(O)CCC2C3CC[C@@H]4C[C@@H](CC[C@]4(C)C3C(=O)C[C@]12C)OC(C)=O,24300,B01,s3://morphology_profiles/filtered_mp/24300-Hoechst/merged_24300-Hoechst_b01.tif,s3://morphology_profiles/filtered_mp/24300-ERSyto/merged_24300-ERSyto_b01.tif,s3://morphology_profiles/filtered_mp/24300-ERSytoBleed/merged_24300-ERSytoBleed_b01.tif,s3://morphology_profiles/filtered_mp/24300-Ph_golgi/merged_24300-Ph_golgi_b01.tif,s3://morphology_profiles/filtered_mp/24300-Mito/merged_24300-Mito_b01.tif
CC(=O)OCC(=O)[C@@]1(O)CCC2C3CC[C@@H]4C[C@@H](CC[C@]4(C)C3C(=O)C[C@]12C)OC(C)=O,25937,B01,s3://morphology_profiles/filtered_mp/25937-Hoechst/merged_25937-Hoechst_b01.tif,s3://morphology_profiles/filtered_mp/25937-ERSyto/merged_25937-ERSyto_b01.tif,s3://morphology_profiles/filtered_mp/25937-ERSytoBleed/merged_25937-ERSytoBleed_b01.tif,s3://morphology_profiles/filtered_mp/25937-Ph_golgi/merged_25937-Ph_golgi_b01.tif,s3://morphology_profiles/filtered_mp/25937-Mito/merged_25937-Mito_b01.tif
CC(=O)OCC(=O)[C@@]1(O)CCC2C3CC[C@@H]4C[C@@H](CC[C@]4(C)C3C(=O)C[C@]12C)OC(C)=O,25938,B01,s3://morphology_profiles/filtered_mp/25938-Hoechst/merged_25938-Hoechst_b01.tif,s3://morphology_profiles/filtered_mp/25938-ERSyto/merged_25938-ERSyto_b01.tif,s3://morphology_profiles/filtered_mp/25938-ERSytoBleed/merged_25938-ERSytoBleed_b01.tif,s3://morphology_profiles/filtered_mp/25938-Ph_golgi/merged_25938-Ph_golgi_b01.tif,s3://morphology_profiles/filtered_mp/25938-Mito/merged_25938-Mito_b01.tif
CC(=O)OCC(=O)[C@@]1(O)CCC2C3CC[C@@H]4C[C@@H](CC[C@]4(C)C3C(=O)C[C@]12C)OC(C)=O,25939,B01,s3://morphology_profiles/filtered_mp/25939-Hoechst/merged_25939-Hoechst_b01.tif,s3://morphology_profiles/filtered_mp/25939-ERSyto/merged_25939-ERSyto_b01.tif,s3://morphology_profiles/filtered_mp/25939-ERSytoBleed/merged_25939-ERSytoBleed_b01.tif,s3://morphology_profiles/filtered_mp/25939-Ph_golgi/merged_25939-Ph_golgi_b01.tif,s3://morphology_profiles/filtered_mp/25939-Mito/merged_25939-Mito_b01.tif
CC(=O)OCC(=O)[C@@]1(O)CCC2C3CC[C@@H]4C[C@@H](CC[C@]4(C)C3C(=O)C[C@]12C)OC(C)=O,25943,B01,s3://morphology_profiles/filtered_mp/25943-Hoechst/merged_25943-Hoechst_b01.tif,s3://morphology_profiles/filtered_mp/25943-ERSyto/merged_25943-ERSyto_b01.tif,s3://morphology_profiles/filtered_mp/25943-ERSytoBleed/merged_25943-ERSytoBleed_b01.tif,s3://morphology_profiles/filtered_mp/25943-Ph_golgi/merged_25943-Ph_golgi_b01.tif,s3://morphology_profiles/filtered_mp/25943-Mito/merged_25943-Mito_b01.tif
CC(=O)O[C@H]1CC[C@@]2(C)C(C[C@@H](OC(C)=O)[C@]3(C)C2CC[C@@]2(C)[C@@H](OC(=O)[C@H]4O[C@@]324)c2ccoc2)C1(C)C,24301,I04,s3://morphology_profiles/filtered_mp/24301-Hoechst/merged_24301-Hoechst_i04.tif,s3://morphology_profiles/filtered_mp/24301-ERSyto/merged_24301-ERSyto_i04.tif,s3://morphology_profiles/filtered_mp/24301-ERSytoBleed/merged_24301-ERSytoBleed_i04.tif,s3://morphology_profiles/filtered_mp/24301-Ph_golgi/merged_24301-Ph_golgi_i04.tif,s3://morphology_profiles/filtered_mp/24301-Mito/merged_24301-Mito_i04.tif
CC(=O)O[C@H]1CC[C@@]2(C)C(C[C@@H](OC(C)=O)[C@]3(C)C2CC[C@@]2(C)[C@@H](OC(=O)[C@H]4O[C@@]324)c2ccoc2)C1(C)C,24302,I04,s3://morphology_profiles/filtered_mp/24302-Hoechst/merged_24302-Hoechst_i04.tif,s3://morphology_profiles/filtered_mp/24302-ERSyto/merged_24302-ERSyto_i04.tif,s3://morphology_profiles/filtered_mp/24302-ERSytoBleed/merged_24302-ERSytoBleed_i04.tif,s3://morphology_profiles/filtered_mp/24302-Ph_golgi/merged_24302-Ph_golgi_i04.tif,s3://morphology_profiles/filtered_mp/24302-Mito/merged_24302-Mito_i04.tif
