smiles,murcko_scaffold,cluster_id
CCOC(=O)c1ccc(NC(=S)N2CCSC2c2ccc(OC)cc2)cc1,S=C(Nc1ccccc1)N1CCSC1c1ccccc1,0
O=C(CC1NC(=O)NC1=O)Nc1cccc2ccccc12,O=C(CC1NC(=O)NC1=O)Nc1cccc2ccccc12,1
CC(Nc1nc(nc2ccccc12)N1CCCC1)c1ccccc1,c1ccc(CNc2nc(N3CCCC3)nc3ccccc23)cc1,2
CCCC(Oc1ccc(Br)cc1)c1nc2c3cc(OC)c(OC)cc3nc(S)n2n1,c1ccc(OCc2nc3c4ccccc4ncn3n2)cc1,3
CC1=C(C(NC(=O)N1)c1ccc(F)cc1)C(=O)OCc1ccc2OCOc2c1,O=C1NC=C(C(=O)OCc2ccc3c(c2)OCO3)C(c2ccccc2)N1,4
CCC(Sc1nc2nnc(C)c2c(N)n1-c1cccc(Cl)c1)C(=O)NCCOC,c1ccc(-n2cnc3nncc-3c2)cc1,5
COc1cccc(CN2CCN(CC2CCO)C2CCN(CC2)c2ccccc2F)c1,c1ccc(CN2CCN(C3CCN(c4ccccc4)CC3)CC2)cc1,6
O=C(Nc1ccc(cc1)-c1nc2ccccc2o1)c1ccc(cc1)N1C(=O)C2C3CC(C=C3)C2C1=O,O=C(Nc1ccc(-c2nc3ccccc3o2)cc1)c1ccc(N2C(=O)C3C4C=CC(C4)C3C2=O)cc1,7
CCOC(=O)c1sc2nc3CCC(C)CCn3c(=O)c2c1C,O=c1c2ccsc2nc2n1CCCCC2,8
CCCC(O)C#Cc1cnc2O[C@@H](CN(C)C(=O)Nc3ccc4OCOc4c3)[C@@H](C)CN([C@H](C)CO)C(=O)c2c1,O=C(NC[C@H]1CCNC(=O)c2cccnc2O1)Nc1ccc2c(c1)OCO2,9
CCC(C)(CN(C)C)OC(=O)c1ccccc1,c1ccccc1,10
COc1ccc(NC(=O)CC2N(NC(=O)c3ccc(Cl)cc3)C(=S)N(C2=O)c2ccc(F)cc2)cc1,O=C(CC1C(=O)N(c2ccccc2)C(=S)N1NC(=O)c1ccccc1)Nc1ccccc1,11
CC(NC(=O)C1CCCN(Cc2nc(oc2C)-c2cccc(Cl)c2)C1)c1ccc2OCCOc2c1,O=C(NCc1ccc2c(c1)OCCO2)C1CCCN(Cc2coc(-c3ccccc3)n2)C1,12
CC1=C(CC(O)=O)c2cc(F)ccc2C\1=C/c1ccc(cc1)S(C)=O,C1=Cc2ccccc2/C1=C\c1ccccc1,13
CC(N)Cc1c[nH]c2ccc(OCc3cccs3)cc12,c1csc(COc2ccc3[nH]ccc3c2)c1,14
