SMILES,Assay_1,Assay_2,Assay_3,Assay_4,Assay_5,Assay_6,Assay_7,Assay_8,Assay_9,Assay_10,Assay_11,Assay_12,Assay_13,Assay_14,Assay_15,Assay_16,Assay_17,Assay_18,Assay_19,Assay_20,Assay_21,Assay_22,Assay_23,Assay_24,Assay_25,Assay_26,Assay_27,Assay_28,Assay_29,Assay_30,Assay_31,Assay_32,Assay_33,Assay_34,Assay_35,Assay_36,Assay_37,Assay_38,Assay_39,Assay_40,Assay_41,Assay_42,Assay_43,Assay_44,Assay_45,Assay_46,Assay_47,Assay_48,Assay_49,Assay_50,Assay_51,Assay_52,Assay_53,Assay_54,Assay_55,Assay_56,Assay_57,Assay_58,Assay_59,Assay_60,Assay_61,Assay_62,Assay_63,Assay_64,Assay_65,Assay_66,Assay_67,Assay_68,Assay_69,Assay_70,Assay_71,Assay_72,Assay_73,Assay_74,Assay_75,Assay_76,Assay_77,Assay_78,Assay_79,Assay_80,Assay_81,Assay_82,Assay_83,Assay_84,Assay_85,Assay_86,Assay_87,Assay_88,Assay_89,Assay_90,Assay_91,Assay_92,Assay_93,Assay_94,Assay_95,Assay_96,Assay_97,Assay_98,Assay_99,Assay_100,Assay_101,Assay_102,Assay_103,Assay_104,Assay_105,Assay_106,Assay_107,Assay_108,Assay_109,Assay_110,Assay_111,Assay_112,Assay_113,Assay_114,Assay_115,Assay_116,Assay_117,Assay_118,Assay_119,Assay_120,Assay_121,Assay_122,Assay_123,Assay_124,Assay_125,Assay_126,Assay_127,Assay_128,Assay_129,Assay_130,Assay_131,Assay_132,Assay_133,Assay_134,Assay_135,Assay_136,Assay_137,Assay_138,Assay_139,Assay_140,Assay_141,Assay_142,Assay_143,Assay_144,Assay_145,Assay_146,Assay_147,Assay_148,Assay_149,Assay_150,Assay_151,Assay_152,Assay_153,Assay_154,Assay_155,Assay_156,Assay_157,Assay_158,Assay_159,Assay_160,Assay_161,Assay_162,Assay_163,Assay_164,Assay_165,Assay_166,Assay_167,Assay_168,Assay_169,Assay_170,Assay_171,Assay_172,Assay_173,Assay_174,Assay_175,Assay_176,Assay_177,Assay_178,Assay_179,Assay_180,Assay_181,Assay_182,Assay_183,Assay_184,Assay_185,Assay_186,Assay_187,Assay_188,Assay_189,Assay_190,Assay_191,Assay_192,Assay_193,Assay_194,Assay_195,Assay_196,Assay_197,Assay_198,Assay_199,Assay_200,Assay_201,Assay_202,Assay_203,Assay_204,Assay_205,Assay_206,Assay_207,Assay_208,Assay_209
COc1cc2nc(nc(N)c2cc1OC)N1CCN(CC1)C(=O)c1ccco1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,0.0,,,,,,,,,1.0,
CC1COc2c(N3CCN(C)CC3)c(F)cc3c2n1cc(C(O)=O)c3=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,0.0,,,,,,
COc1ccc2n(C(=O)c3ccc(Cl)cc3)c(C)c(CC(O)=O)c2c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
Cn1cc(C2=C(C(=O)NC2=O)c2cn(CCCSC(N)=N)c3ccccc23)c2ccccc12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,1.0,,,0.0,,,1.0,,,,
OC(=O)c1cn(C2CC2)c2cc(N3CCNCC3)c(F)cc2c1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CCn1cc(C(O)=O)c(=O)c2cc(F)c(cc12)N1CCNCC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CS(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccncc1)-c1ccc(F)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,1.0,,,0.0,,,,,,
Cc1ccc(Sc2cncc3sc(cc23)C(N)=O)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,
NC(=O)c1ccc(cc1)-c1nc(c([nH]1)-c1ccccn1)-c1ccc2OCOc2c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,0.0,,,,,0.0,,,,
COc1ccc2c(c1)[nH]c1c(C)nccc21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,1.0,,,,
