Compound SMILES,Plate,Well,ch1_path,ch2_path,ch3_path,ch4_path,ch5_path
COc1cc(O)cc(\C=C\c2ccccc2)c1,24277,A03,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_a03.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_a03.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_a03.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_a03.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_a03.tif
C[C@@]12[C@H](CC[C@]1(O)[C@@H]1CC[C@@H]3C[C@@H](O)CC[C@]3(C)[C@H]1C[C@H]2O)C1=CC(=O)OC1,24277,A06,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_a06.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_a06.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_a06.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_a06.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_a06.tif
CNCCNS(=O)(=O)c1cccc2cnccc12,24277,A07,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_a07.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_a07.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_a07.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_a07.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_a07.tif
N\C(Sc1ccccc1N)=C(C#N)/C(C#N)=C(\N)Sc1ccccc1N,24277,A10,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_a10.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_a10.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_a10.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_a10.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_a10.tif
CN1CCN(CC1)c1nc2cc(ccc2n2cccc12)C(F)(F)F,24277,A15,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_a15.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_a15.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_a15.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_a15.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_a15.tif
C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,24277,A16,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_a16.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_a16.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_a16.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_a16.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_a16.tif
CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C,24277,A17,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_a17.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_a17.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_a17.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_a17.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_a17.tif
OCCN1CCN(CCC(=O)N2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1,24277,A18,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_a18.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_a18.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_a18.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_a18.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_a18.tif
CC(C)(Oc1ccc(Cl)cc1)C(O)=O,24277,A19,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_a19.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_a19.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_a19.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_a19.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_a19.tif
CC(C)c1c(O)c(O)c(C=O)c2c(O)c(c(C)cc12)-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,24277,A20,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_a20.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_a20.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_a20.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_a20.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_a20.tif
C(CN1CCOCC1)Nc1cc2CCCc3ccccc3-c2nn1,24277,A21,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_a21.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_a21.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_a21.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_a21.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_a21.tif
CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1,24277,A22,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_a22.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_a22.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_a22.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_a22.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_a22.tif
CC(C)[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]2CCCN2C1=O)C(C)C,24277,A23,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_a23.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_a23.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_a23.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_a23.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_a23.tif
[O-][N+](=O)c1cc2[nH]c(=O)c(=O)[nH]c2cc1C#N,24277,A24,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_a24.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_a24.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_a24.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_a24.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_a24.tif
