Compound SMILES,Plate,Well,ch1_path,ch2_path,ch3_path,ch4_path,ch5_path
C[C@]12CC[C@@H]3c4ccc(O)cc4CC[C@H]3[C@@H]1CC[C@@H]2O,24277,A16,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_a16.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_a16.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_a16.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_a16.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_a16.tif
N=c1[nH]c2ccc(OC(F)(F)F)cc2s1,24277,B19,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_b19.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_b19.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_b19.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_b19.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_b19.tif
CS(=O)(=O)c1ccc(C2=C(c3ccccc3)C(=O)OC2)cc1,24277,C3,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_c03.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_c03.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_c03.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_c03.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_c03.tif
O=c1ccc2ccccc2o1,24277,D7,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_d07.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_d07.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_d07.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_d07.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_d07.tif
CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,24277,D21,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_d21.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_d21.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_d21.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_d21.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_d21.tif
CCCCC[C@H](O)/C=C/[C@H]1[C@H](O)CC(=O)[C@@H]1C/C=C\CCCC(=O)O,24277,F4,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_f04.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_f04.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_f04.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_f04.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_f04.tif
CC(C)NC(=N)NC(=N)Nc1ccc(Cl)cc1,24277,G15,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_g15.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_g15.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_g15.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_g15.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_g15.tif
CCC(O)=NCC[C@@H]1CCc2ccc3c(c21)CCO3,24277,H5,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_h05.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_h05.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_h05.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_h05.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_h05.tif
C#C[C@]1(O)CC[C@H]2[C@@H]3CCc4cc(OC)ccc4[C@H]3CC[C@@]21C,24277,J11,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_j11.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_j11.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_j11.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_j11.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_j11.tif
Cc1ccc(S(=O)(=O)NC(O)=NN2CCCCCC2)cc1,24277,J15,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_j15.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_j15.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_j15.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_j15.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_j15.tif
CCc1cc(C(=N)S)ccn1,24277,L3,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_l03.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_l03.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_l03.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_l03.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_l03.tif
C[C@H]1C[C@@H]2[C@H]([C@@H](O)C[C@@]3(C)[C@H]2CC[C@]3(O)C(=O)CO)[C@@]2(C)C=CC(=O)C=C12,24277,M6,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_m06.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_m06.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_m06.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_m06.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_m06.tif
CC1=NN(c2ccccc2)C(=O)C1,24277,M8,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_m08.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_m08.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_m08.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_m08.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_m08.tif
COC(=O)[C@@H]1[C@H]2C[C@H]3c4[nH]c5ccccc5c4CCN3C[C@@H]2CC[C@@H]1O,24277,M12,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_m12.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_m12.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_m12.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_m12.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_m12.tif
CCC1(CC)C(=O)C=CN=C1O,24277,M24,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_m24.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_m24.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_m24.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_m24.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_m24.tif
COc1ccc(Cl)cc1C(O)=NCCc1ccc(S(=O)(=O)NC(O)=NC2CCCCC2)cc1,24277,N15,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_n15.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_n15.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_n15.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_n15.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_n15.tif
NCc1ccccc1CC(O)=N[C@@H]1C(=O)N2C(C(=O)O)=C(CSc3nnnn3CC(=O)O)CS[C@H]12,24277,O9,s3://morphology_profiles/filtered_mp/24277-Hoechst/merged_24277-Hoechst_o09.tif,s3://morphology_profiles/filtered_mp/24277-ERSyto/merged_24277-ERSyto_o09.tif,s3://morphology_profiles/filtered_mp/24277-ERSytoBleed/merged_24277-ERSytoBleed_o09.tif,s3://morphology_profiles/filtered_mp/24277-Ph_golgi/merged_24277-Ph_golgi_o09.tif,s3://morphology_profiles/filtered_mp/24277-Mito/merged_24277-Mito_o09.tif
