smiles,ADRA1A_Antagonist,ADRA2A_Antagonist,ADRA2B_Antagonist,CAR_Antagonist,ERa_Antagonist,ERb_Antagonist,GPR119_Antagonist,GR_Agonist,HCTR1_Antagonist,PPARa_Antagonist,PPARg_Antagonist,PR_Agonist,PR_Antagonist,PXR_Agonist,RARa_Antagonist,RARb_Antagonist,RARg_Antagonist,RORa_Antagonist,RORb_Antagonist,RORg_Antagonist,RXRa_Antagonist,RXRb_Antagonist,RXRg_Antagonist,SF1_Antagonist
CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nn[nH]n2)cc1)[C@H](C(=O)O)C(C)C,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
CCc1cc(C(=N)S)ccn1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CCC1N=C(O)c2cc(S(N)(=O)=O)c(Cl)cc2N1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1ccccc1N1C(=O)c2cc(S(N)(=O)=O)c(Cl)cc2NC1C,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0
CC(C)NCC(O)COc1cccc2ccccc12,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,0.0
CN=C(NC#N)NCCSCc1[nH]cnc1C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CC1CS(=O)(=O)CCN1N=Cc1ccc([N+](=O)[O-])o1,,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
COc1ccc2c3c1O[C@H]1C[C@@H](O)C=C[C@@]31CCN(C)C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N[C@@H](Cc1cc(I)c(Oc2ccc(O)c(I)c2)c(I)c1)C(=O)O,1.0,,0.0,,,,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0
CCN(CC)C(=S)SSC(=S)N(CC)CC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C=C(CC)C(=O)c1ccc(OCC(=O)O)c(Cl)c1Cl,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
