Plate,Well,Compound Name,Compound SMILES
24277,A13,DMSO,CS(=O)C
24277,A14,DMSO,CS(=O)C
24277,B13,DMSO,CS(=O)C
24277,B14,DMSO,CS(=O)C
24277,C11,DMSO,CS(=O)C
24277,C12,DMSO,CS(=O)C
24277,C15,DMSO,CS(=O)C
24277,C16,DMSO,CS(=O)C
24277,D11,DMSO,CS(=O)C
24277,D12,DMSO,CS(=O)C
24277,D15,DMSO,CS(=O)C
24277,D16,DMSO,CS(=O)C
24277,E1,DMSO,CS(=O)C
24277,E2,DMSO,CS(=O)C
24277,E9,DMSO,CS(=O)C
24277,E10,DMSO,CS(=O)C
24277,E17,DMSO,CS(=O)C
24277,E18,DMSO,CS(=O)C
24277,F1,DMSO,CS(=O)C
24277,F2,DMSO,CS(=O)C
24277,F9,DMSO,CS(=O)C
24277,F10,DMSO,CS(=O)C
24277,F17,DMSO,CS(=O)C
24277,F18,DMSO,CS(=O)C
24277,G3,DMSO,CS(=O)C
24277,G4,DMSO,CS(=O)C
24277,G19,DMSO,CS(=O)C
24277,G20,DMSO,CS(=O)C
24277,H3,DMSO,CS(=O)C
24277,H4,DMSO,CS(=O)C
24277,H19,DMSO,CS(=O)C
24277,H20,DMSO,CS(=O)C
24277,I5,DMSO,CS(=O)C
24277,I6,DMSO,CS(=O)C
24277,I21,DMSO,CS(=O)C
24277,I22,DMSO,CS(=O)C
24277,J5,DMSO,CS(=O)C
24277,J6,DMSO,CS(=O)C
24277,J21,DMSO,CS(=O)C
24277,J22,DMSO,CS(=O)C
24277,K7,DMSO,CS(=O)C
24277,K8,DMSO,CS(=O)C
24277,K15,DMSO,CS(=O)C
24277,K16,DMSO,CS(=O)C
24277,K23,DMSO,CS(=O)C
24277,K24,DMSO,CS(=O)C
24277,L7,DMSO,CS(=O)C
24277,L8,DMSO,CS(=O)C
24277,L15,DMSO,CS(=O)C
24277,L16,DMSO,CS(=O)C
24277,L23,DMSO,CS(=O)C
24277,L24,DMSO,CS(=O)C
24277,M9,DMSO,CS(=O)C
24277,M10,DMSO,CS(=O)C
24277,M13,DMSO,CS(=O)C
24277,M14,DMSO,CS(=O)C
24277,N9,DMSO,CS(=O)C
24277,N10,DMSO,CS(=O)C
24277,N13,DMSO,CS(=O)C
24277,N14,DMSO,CS(=O)C
24277,O11,DMSO,CS(=O)C
24277,O12,DMSO,CS(=O)C
24277,P11,DMSO,CS(=O)C
24277,P12,DMSO,CS(=O)C
24278,A13,DMSO,CS(=O)C
24278,A14,DMSO,CS(=O)C
24278,B13,DMSO,CS(=O)C
24278,B14,DMSO,CS(=O)C
24278,C11,DMSO,CS(=O)C
24278,C12,DMSO,CS(=O)C
24278,C15,DMSO,CS(=O)C
24278,C16,DMSO,CS(=O)C
24278,D11,DMSO,CS(=O)C
24278,D12,DMSO,CS(=O)C
24278,D15,DMSO,CS(=O)C
24278,D16,DMSO,CS(=O)C
24278,E1,DMSO,CS(=O)C
24278,E2,DMSO,CS(=O)C
24278,E9,DMSO,CS(=O)C
24278,E10,DMSO,CS(=O)C
24278,E17,DMSO,CS(=O)C
24278,E18,DMSO,CS(=O)C
24278,F1,DMSO,CS(=O)C
24278,F2,DMSO,CS(=O)C
24278,F9,DMSO,CS(=O)C
24278,F10,DMSO,CS(=O)C
24278,F17,DMSO,CS(=O)C
24278,F18,DMSO,CS(=O)C
24278,G3,DMSO,CS(=O)C
24278,G4,DMSO,CS(=O)C
24278,G19,DMSO,CS(=O)C
24278,G20,DMSO,CS(=O)C
24278,H3,DMSO,CS(=O)C
24278,H4,DMSO,CS(=O)C
24278,H19,DMSO,CS(=O)C
24278,H20,DMSO,CS(=O)C
24278,I5,DMSO,CS(=O)C
24278,I6,DMSO,CS(=O)C
24278,I21,DMSO,CS(=O)C
24278,I22,DMSO,CS(=O)C
24278,J5,DMSO,CS(=O)C
24278,J6,DMSO,CS(=O)C
24278,J21,DMSO,CS(=O)C
24278,J22,DMSO,CS(=O)C
24278,K7,DMSO,CS(=O)C
24278,K8,DMSO,CS(=O)C
24278,K15,DMSO,CS(=O)C
24278,K16,DMSO,CS(=O)C
