Plate,Well,Compound SMILES,PubChem InChIKey
24277,A1,CCCOc1cc(N)ccc1C(=O)OCCN(CC)CC,CAJIGINSTLKQMM-UHFFFAOYSA-N
24277,A2,COc1cc(C)cc(OC)c1[C@@H]1C=C(C)CC[C@H]1C(C)=C,ICHJMVMWPKLUKT-JKSUJKDBSA-N
24277,A3,COc1cc(O)cc(\C=C\c2ccccc2)c1,JVIXPWIEOVZVJC-BQYQJAHWSA-N
24277,A4,COc1c(O)cc2C(=O)O[C@H]3[C@@H](O)[C@H](O)[C@@H](CO)O[C@@H]3c2c1O,YWJXCIXBAKGUKZ-BPTACTMOSA-N
24277,A5,CCOc1ccc2ccccc2c1C(=O)N[C@H]1[C@H]2SC(C)(C)[C@@H](N2C1=O)C(O)=O,GPXLMGHLHQJAGZ-JTDSTZFVSA-N
24277,A6,C[C@@]12[C@H](CC[C@]1(O)[C@@H]1CC[C@@H]3C[C@@H](O)CC[C@]3(C)[C@H]1C[C@H]2O)C1=CC(=O)OC1,SHIBSTMRCDJXLN-KCZCNTNESA-N
24277,A7,CNCCNS(=O)(=O)c1cccc2cnccc12,PJWUXKNZVMEPPH-UHFFFAOYSA-N
24277,A8,CCCCC[C@H](O)\C=C\[C@H]1[C@H]2C[C@H](CO2)[C@@H]1C\C=C/CCCC(O)=O,LQANGKSBLPMBTJ-BRSNVKEHSA-N
24277,A9,CNCCCCOc1ccccc1Cc1ccccc1,QSQQPMHPCBLLGX-UHFFFAOYSA-N
24277,A10,N\C(Sc1ccccc1N)=C(C#N)/C(C#N)=C(\N)Sc1ccccc1N,
24277,A11,FC(F)(F)CCCS(=O)(=O)Oc1cccc(Oc2cccc(c2C#N)C(F)(F)F)c1,LWUSZIVDPJPVBW-UHFFFAOYSA-N
24277,A12,CS(=O)(=O)Nc1ccc(Cc2noc(n2)-c2ccc3[nH]cc(CCN)c3c2)cc1,HKXMQLISPYELRD-UHFFFAOYSA-N
24277,A13,CS(=O)C,
24277,A14,CS(=O)C,
24277,A15,CN1CCN(CC1)c1nc2cc(ccc2n2cccc12)C(F)(F)F,LXFHSCDLMBZYKY-UHFFFAOYSA-N
24277,A16,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,VOXZDWNPVJITMN-ZBRFXRBCSA-N
24277,A17,CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C,ALWKGYPQUAPLQC-UHFFFAOYSA-N
24277,A18,OCCN1CCN(CCC(=O)N2c3ccccc3Sc3ccc(cc23)C(F)(F)F)CC1,KRMKBOUUDPUIDK-UHFFFAOYSA-N
24277,A19,CC(C)(Oc1ccc(Cl)cc1)C(O)=O,
24277,A20,CC(C)c1c(O)c(O)c(C=O)c2c(O)c(c(C)cc12)-c1c(C)cc2c(C(C)C)c(O)c(O)c(C=O)c2c1O,
24277,A21,C(CN1CCOCC1)Nc1cc2CCCc3ccccc3-c2nn1,RUTYAHFAKWVMNH-UHFFFAOYSA-N
24277,A22,CN1CCN(CCCN2c3ccccc3Sc3ccc(Cl)cc23)CC1,WIKYUJGCLQQFNW-UHFFFAOYSA-N
24277,A23,CC(C)[C@@H]1N2C(=O)[C@](NC(=O)[C@H]3CN(C)[C@@H]4Cc5c[nH]c6cccc(C4=C3)c56)(O[C@@]2(O)[C@@H]2CCCN2C1=O)C(C)C,UJYGDMFEEDNVBF-OGGGUQDZSA-N
24277,A24,[O-][N+](=O)c1cc2[nH]c(=O)c(=O)[nH]c2cc1C#N,RPXVIAFEQBNEAX-UHFFFAOYSA-N
24277,B1,COc1cc(OC)c(C(=O)CCCN2CCCC2)c(OC)c1,OWYLAEYXIQKAOL-UHFFFAOYSA-N
24277,B2,CC(=O)O[C@@]1(CC[C@H]2[C@@H]3C=C(C)C4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C)C(C)=O,RQZAXGRLVPAYTJ-GQFGMJRRSA-N
24277,B3,COc1ccc(C=CC(=O)Nc2ccccc2C(O)=O)cc1OC,NZHGWWWHIYHZNX-CSKARUKUSA-N
24277,B4,Clc1cncc(n1)N1CCNCC1,CJAWPFJGFFNXQI-UHFFFAOYSA-N
24277,B5,Nc1nc(NCCc2ccc(O)cc2)nc2nc(nn12)-c1ccco1,PWTBZOIUWZOPFT-UHFFFAOYSA-N
24277,B6,COc1ccc(cc1)-c1cc(=O)c2c(O)c(OC)c(O[C@H]3O[C@H](CO[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@@H](O)[C@H](O)[C@H]3O)cc2o1,DUXQKCCELUKXOE-NCNDPSPSSA-N
24277,B7,CNCC[C@@H](Oc1ccccc1C)c1ccccc1,VHGCDTVCOLNTBX-QGZVFWFLSA-N
24277,B8,CCCCC\C=C/C\C=C/C\C=C/CCCCCCC(O)=O,HOBAELRKJCKHQD-QNEBEIHSSA-N
24277,B9,COc1cc(O)c(cc1O)C(=O)c1ccccc1,
24277,B10,CC(C)(C)[C@]1(O)CCN2C[C@H]3c4ccccc4CCc4cccc([C@@H]2C1)c34,ZZJYIKPMDIWRSN-HWBMXIPRSA-N
24277,B11,CCN(CC)CCNC(=O)COc1ccc(OC)cc1,HUNIPYLVUPMFCZ-UHFFFAOYSA-N
24277,B12,CN1CCCN=C1\C=C\c1cccs1,YSAUAVHXTIETRK-AATRIKPKSA-N
24277,B13,CS(=O)C,
24277,B14,CS(=O)C,
24277,B15,Cn1cc(C(=O)C(=O)N[C@H]2CN3CCC2CC3)c2ccccc12,ZNAPADWWBWFMCQ-HNNXBMFYSA-N
24277,B16,COc1cc(COc2cc(N)c(Cl)cc2C(=O)CCC2CCN(CCNS(C)(=O)=O)CC2)cc(OC)c1,BKVIWGRFRKLFIO-UHFFFAOYSA-N
24277,B17,Oc1ccc(Nc2nc(cs2)-c2ccc(Cl)cc2)cc1,ZFGXZJKLOFCECI-UHFFFAOYSA-N
24277,B18,CN([C@@H]1CCCC[C@@H]1N1CCCC1)C(=O)c1ccc(Cl)c(Cl)c1,JUBNVWGVNWIXMB-SJORKVTESA-N
24277,B19,Nc1nc2ccc(OC(F)(F)F)cc2s1,FTALBRSUTCGOEG-UHFFFAOYSA-N
24277,B20,Nc1nc(N)c(nc1Cl)C(=O)NC(=N)Nc1ccccc1,NIOHELZQFBGCEO-UHFFFAOYSA-N
24277,B21,NS(=O)(=O)c1cc2c(cc1Cl)N=C(CSCc1ccccc1)NS2(=O)=O,
24277,B22,CC(=O)NS(=O)(=O)c1ccc(N)cc1,
24277,B23,CCOC(=O)Nc1ccc2Sc3ccccc3N(C(=O)CCN3CCOCC3)c2c1,
24277,B24,Cc1cccc(C)c1NC1=NCCCS1,
24277,C1,CCCCCC=CCC=CCC=CCC=CCCCC(=O)Nc1ccc(O)cc1,IJBZOOZRAXHERC-CGRWFSSPSA-N
24277,C2,OCCNCCNc1ccc(NCCNCCO)c2C(=O)c3c(O)ccc(O)c3C(=O)c12,KKZJGLLVHKMTCM-UHFFFAOYSA-N
24277,C3,CS(=O)(=O)c1ccc(cc1)C1=C(C(=O)OC1)c1ccccc1,RZJQGNCSTQAWON-UHFFFAOYSA-N
24277,C4,Clc1cc(Cl)cc(c1)\C=C(/C#N)c1cccnc1,TYXIVBJQPBWBHO-UUILKARUSA-N
24277,C5,COP(=S)(OC)SCn1nnc2ccccc2c1=O,CJJOSEISRRTUQB-UHFFFAOYSA-N
24277,C6,Oc1ccc(cc1[N+]([O-])=O)[N+]([O-])=O,UFBJCMHMOXMLKC-UHFFFAOYSA-N
24277,C7,OC(=O)c1cc(ccc1O)-c1ccc(F)cc1F,
24277,C8,CCC(C)(C)C(=O)O[C@H]1C[C@@H](C)C=C2C=C[C@H](C)[C@H](CC[C@@H]3C[C@@H](O)CC(=O)O3)[C@@H]12,
24277,C9,COc1ccc(C(=O)c2ccccc2O)c(O)c1,
24277,C10,O=c1cc(oc2c(cccc12)-c1ccccc1)N1CCNCC1,NGAGMBNBKCDCDJ-UHFFFAOYSA-N
24277,C11,CS(=O)C,
24277,C12,CS(=O)C,
24277,C13,COc1ccc2[C@@H](O)[C@H](Cc3ccc(OC)c(OC)c3)COc2c1,
24277,C14,C1CN=C(N1)c1cc2ccccc2o1,YTJOHEUHUVBKSB-UHFFFAOYSA-N
24277,C15,CS(=O)C,
24277,C16,CS(=O)C,
24277,C17,Oc1cc(O)c2c(c1)oc(cc2=O)-c1ccccc1,
24277,C18,CN1CCC(CC1)OC(c1ccccc1)c1ccccc1,
24277,C19,OC[C@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc(cc1)[N+]([O-])=O,WIIZWVCIJKGZOK-DTWKUNHWSA-N
24277,C20,C[C@@]12N[C@@H](Cc3ccccc13)c1ccccc21,
24277,C21,Oc1c(Br)cc(Br)c2cccnc12,
24277,C22,C[C@@H]1O[C@@H](O[C@H]2[C@H](Oc3cc(O)c4c(c3)oc(cc4=O)-c3ccc(O)cc3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,RPMNUQRUHXIGHK-PYXJVEIZSA-N
24277,C23,C(CNC(c1ccccc1)c1ccccc1)NC(c1ccccc1)c1ccccc1,
24277,C24,OC(c1ccc(cc1)N(CC(F)(F)F)S(=O)(=O)c1ccccc1)(C(F)(F)F)C(F)(F)F,SGIWFELWJPNFDH-UHFFFAOYSA-N
24277,D1,NC(Sc1ccc(N)cc1)=C(C#N)c1ccccc1C(F)(F)F,JLOXTZFYJNCPIS-SQFISAMPSA-N
24277,D2,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]1[C@@H](O)C[C@H](O[C@H]2[C@@H](O)C[C@H](O[C@H]3CC[C@@]4(C)[C@H](CC[C@@H]5[C@@H]4C[C@@H](O)[C@]4(C)[C@H](CC[C@]54O)C4=CC(=O)OC4)C3)O[C@@H]2C)O[C@@H]1C,LTMHDMANZUZIPE-PUGKRICDSA-N;LTMHDMANZUZIPE-YUICGFAKSA-N
24277,D3,CN(C)CCCSC(N)=N,OLHQOJYVQUNWPL-UHFFFAOYSA-N
24277,D4,CC1(C)NC(=O)N(C1=O)c1ccc(c(c1)C(F)(F)F)[N+]([O-])=O,
24277,D5,OC(=O)c1cc(ccc1O)N(Cc1ccccc1O)Cc1cc(O)ccc1O,ULTTYPMRMMDONC-UHFFFAOYSA-N
24277,D6,Clc1oc(=O)c2ccccc2c1Cl,SUGXUUGGLDCZKB-UHFFFAOYSA-N
24277,D7,O=c1ccc2ccccc2o1,ZYGHJZDHTFUPRJ-UHFFFAOYSA-N
24277,D8,CN1CCC=C(C1)C(=O)OCC#C,SPHRJZBOFYIKMC-UHFFFAOYSA-N
24277,D9,COc1ccc(cc1)[C@@H]1Sc2ccccc2N(CCN(C)C)C(=O)[C@@H]1OC(C)=O,HSUGRBWQSSZJOP-RTWAWAEBSA-N
24277,D10,Cn1cnc2[nH]c(=O)n(C)c(=O)c12,QUNWUDVFRNGTCO-UHFFFAOYSA-N
24277,D11,CS(=O)C,
24277,D12,CS(=O)C,
24277,D13,COc1cc(cc(OC)c1OC)\C=C\C(=O)N1CCC=CC1=O,
24277,D14,CC1CCN(CC[C@H]2CCCN2S(=O)(=O)c2cccc(O)c2)CC1,
24277,D15,CS(=O)C,
24277,D16,CS(=O)C,
24277,D17,CC1=NN=C(c2ccc(N)cc2)c2cc3OCOc3cc2C1,LFBZZHVSGAHQPP-UHFFFAOYSA-N
24277,D18,NC[C@@H]1O[C@@H](Cc2c(O)c(O)ccc12)C12CC3CC(CC(C3)C1)C2,QLJOSZATCBCBDR-DFKUFRTHSA-N
24277,D19,COc1cc2cc3c4cc(OC)c(OC)cc4cc[n+]3c(C)c2cc1OC,GOEJQGGEIVSVOK-UHFFFAOYSA-N
24277,D20,CC1(C)Oc2ccc(cc2[C@H]([C@@H]1O)N1CCCC1=O)C#N,TVZCRIROJQEVOT-CABCVRRESA-N
24277,D21,CC(=O)OCC(=O)[C@H]1CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,VPGRYOFKCNULNK-ACXQXYJUSA-N
24277,D22,CCN(CC)CCOC(=O)c1ccc(N)cc1,
24277,D23,[O-][N+](=O)c1cccc2c(Br)n[nH]c12,NFSTZPMYAZRZPC-UHFFFAOYSA-N
24277,D24,COc1ccc(cc1NC(=O)C(C)C)-c1cn2cccnc2n1,XRYOQOUJMQVCBW-UHFFFAOYSA-N
24277,E1,CS(=O)C,
24277,E2,CS(=O)C,
24277,E3,COc1ccc(cc1)[C@H]1Oc2cc(OC)cc(OC)c2C[C@H]1O,
24277,E4,O=C(N1CCCCC1)c1ccc2OCOc2c1,BXBNADAPIHHXJQ-UHFFFAOYSA-N
24277,E5,Cc1nc2ccccn2c(=O)c1CCN1CCC(CC1)C(=O)c1ccc(F)cc1,
24277,E6,COc1cc2ncnc(Nc3cccc(c3)C#C)c2cc1OC,XOTGKYTUNDYTBS-UHFFFAOYSA-N
24277,E7,OC(=O)CCc1nc(c(o1)-c1ccccc1)-c1ccccc1,
24277,E8,Nc1cccc2c1cc[nH]c2=O,SVASVGVAQIVSEZ-UHFFFAOYSA-N
24277,E9,CS(=O)C,
24277,E10,CS(=O)C,
24277,E11,CNCCCC12CCC(c3ccccc13)c1ccccc21,QSLMDECMDJKHMQ-UHFFFAOYSA-N
24277,E12,COc1ccc2[nH]c(I)c(CCNC(C)=O)c2c1,FJDDSMSDZHURBJ-UHFFFAOYSA-N
24277,E13,COc1ccc2c(OC)c3ccoc3nc2c1OC,SLSIBLKBHNKZTB-UHFFFAOYSA-N
24277,E14,COc1c2C=CC(C)(C)Oc2cc2occ(-c3ccc4OCOc4c3)c(=O)c12,OKBNMQXBQLZQEM-UHFFFAOYSA-N
24277,E15,Clc1cccc2c(cccc12)S(=O)(=O)NCCCCCCc1ccccc1,YUXMTDYHFPRPLG-UHFFFAOYSA-N
24277,E16,C(C1CCNCC1)c1c[nH]cn1,MCNGUYXRBCIGOV-UHFFFAOYSA-N
24277,E17,CS(=O)C,
24277,E18,CS(=O)C,
24277,E19,CN(C)Cc1c[nH]c2ccccc12,OCDGBSUVYYVKQZ-UHFFFAOYSA-N
24277,E20,CC(=O)NCCc1c[nH]c2ccc(O)cc12,MVAWJSIDNICKHF-UHFFFAOYSA-N
24277,E21,Clc1cccc2CN(Cc12)C1=NCCN1,IVCMOOBKRRDNHX-UHFFFAOYSA-N
24277,E22,NC(=O)c1sc(cc1N)-c1ccsc1,BMUACLADCKCNKZ-UHFFFAOYSA-N
24277,E23,COc1ccc2CC[C@@H]3CC(=O)CC[C@]3(C)c2c1,MMDQZMROSQWSDC-WBMJQRKESA-N
24277,E24,CC(=C)c1cc2cc(C(C)=O)c(O)cc2o1,OPUFDNZTKHPZHM-UHFFFAOYSA-N
24277,F1,CS(=O)C,
24277,F2,CS(=O)C,
24277,F3,CC(C)=CCCN1CCC(CC1)NC(=O)[C@@](O)(C1CCCC1)c1ccccc1,YECZUVJTDYORCB-DEOSSOPVSA-N
24277,F4,CCCCC[C@H](O)\C=C\[C@H]1[C@H](O)CC(=O)[C@@H]1C\C=C/CCCC(O)=O,XEYBRNLFEZDVAW-ARSRFYASSA-N
24277,F5,CCCN1CCC[C@@H]2Cc3n[nH]cc3C[C@@H]12,FTSUPYGMFAPCFZ-ZWNOBZJWSA-N
24277,F6,CN(C)c1ccc(cc1)\C=C1CCCN=C/1c1cccnc1,KHUUTHZSRXABAC-DTQAZKPQSA-N
24277,F7,O=C1NCC2(CCN(CCc3ccccc3)CC2)O1,
24277,F8,NC(=O)c1ccc(cc1Cl)[N+]([O-])=O,
24277,F9,CS(=O)C,
24277,F10,CS(=O)C,
24277,F11,CC(=O)c1cc2ccccc2oc1=O,CSPIFKKOBWYOEX-UHFFFAOYSA-N
24277,F12,OC(=O)c1ccc(Cl)cc1NC(=O)Nc1cccc(c1)C(F)(F)F,GNCZTZCPXFDPLI-UHFFFAOYSA-N
24277,F13,COc1ccc2[nH]c(cc2c1)C(=O)c1ccccc1,ICMIJSRDISNKOC-UHFFFAOYSA-N
