sample_idx,assay_id,prob,label
0,104_291,0.11554,0
0,105_341,0.2157,0
0,105_382,0.1093,0
0,16_27,0.3665,1
0,169_545,0.355,0
0,17_28,0.275,0
0,178_684,0.1306,0
0,180_686,0.0729,0
0,184_606,0.1582,1
0,19_30,0.2944,1
0,197_648,0.10596,0
0,228_700,0.303,0
1,104_291,0.1174,0
1,105_341,0.2064,0
1,105_382,0.11676,0
1,16_27,0.353,1
1,169_545,0.3464,0
1,17_28,0.2664,0
1,178_684,0.11993,0
1,180_686,0.0693,0
1,184_606,0.1476,1
1,19_30,0.2837,1
1,197_648,0.10504,0
1,228_700,0.3108,0
2,10_20,0.02246,0
2,104_291,0.02333,0
2,104_297,0.03308,0
2,105_341,0.04468,0
2,105_382,0.03096,0
2,105_391,0.02165,0
2,11_21,0.0109,0
2,110_400,0.03656,0
2,16_27,0.4348,1
2,169_545,0.419,0
2,17_28,0.4924,0
2,170_550,0.0397,0
2,175_559,0.0549,0
2,19_30,0.2595,0
2,37_74,0.0263,0
2,42_104,0.0286,0
2,7_10,0.1514,0
2,70_211,0.0181,0
2,76_230,0.08417,1
2,78_237,0.0689,0
2,82_243,0.463,1
2,83_244,0.02641,0
2,85_247,0.3052,1
2,86_250,0.0909,0
2,88_252,0.02849,0
2,88_254,0.01744,0
2,92_258,0.4531,0
3,10_20,0.02591,0
3,104_291,0.03096,0
3,104_297,0.03912,0
3,105_341,0.0551,0
3,105_382,0.03308,0
3,105_391,0.0225,0
3,11_21,0.012924,0
3,110_400,0.0424,0
3,16_27,0.431,1
3,169_545,0.4124,0
3,17_28,0.4705,0
3,170_550,0.04913,0
3,175_559,0.0612,0
3,19_30,0.2583,0
3,37_74,0.02881,0
3,42_104,0.0359,0
3,7_10,0.145,0
3,70_211,0.02092,0
3,76_230,0.1025,1
3,78_237,0.0753,0
3,82_243,0.4377,1
3,83_244,0.02718,0
3,85_247,0.29,1
3,86_250,0.10175,0
3,88_252,0.0345,0
3,88_254,0.02129,0
3,92_258,0.427,0
4,191_630,0.2417,0
4,198_682,0.06696,0
4,219_691,0.03775,0
4,224_696,0.02365,0
4,229_701,0.335,1
4,232_704,0.07654,1
4,244_718,0.305,0
4,259_737,0.005688,0
4,269_747,0.09515,0
4,271_749,0.11597,1
4,281_760,0.1694,0
5,10_20,0.04968,1
5,104_291,0.01302,0
5,104_297,0.01142,0
5,105_341,0.02277,0
5,105_382,0.013535,0
5,105_391,0.00881,0
5,11_21,0.02097,0
5,110_400,0.01704,1
5,16_27,0.0548,0
5,169_545,0.0724,0
5,17_28,0.03595,0
5,170_550,0.006145,0
5,175_559,0.02718,0
5,19_30,0.035,0
5,37_74,0.02596,0
5,42_104,0.02904,0
5,7_10,0.10706,0
5,70_211,0.009636,0
5,76_230,0.0354,0
5,78_237,0.066,0
5,82_243,0.01401,0
5,83_244,0.0312,0
5,85_247,0.128,0
5,86_250,0.0546,0
5,88_252,0.04434,0
5,88_254,0.02141,0
5,92_258,0.2144,0
6,10_20,0.07837,1
6,104_291,0.04587,0
6,104_297,0.03918,0
6,105_341,0.0945,0
6,105_382,0.03656,0
6,105_391,0.01927,0
6,11_21,0.0477,0
6,110_400,0.04288,1
6,16_27,0.1937,0
6,169_545,0.1709,0
6,17_28,0.1271,0
6,170_550,0.01302,0
6,175_559,0.0667,0
6,19_30,0.137,0
6,37_74,0.03955,0
6,42_104,0.0903,0
6,7_10,0.1528,0
6,70_211,0.02014,0
6,76_230,0.1101,0
6,78_237,0.1455,0
6,82_243,0.06323,0
6,83_244,0.04184,0
6,85_247,0.2803,0
6,86_250,0.131,0
6,88_252,0.09705,0
6,88_254,0.04337,0
6,92_258,0.2705,0
7,110_400,0.04468,0
7,169_545,0.11163,1
7,170_550,0.02513,0
7,197_649,0.4614,1
7,197_650,0.4656,1
7,76_230,0.02391,0
7,83_244,0.0733,0
7,85_247,0.1693,1
7,88_252,0.04526,1
7,88_254,0.02954,1
8,110_400,0.06198,0
8,169_545,0.1442,1
8,170_550,0.04794,0
8,197_649,0.4536,1
8,197_650,0.4568,1
8,76_230,0.04123,0
8,83_244,0.0774,0
8,85_247,0.2233,1
8,88_252,0.06256,1
8,88_254,0.03912,1
9,10_20,0.07196,0
9,104_291,0.02844,0
9,105_341,0.05005,0
9,105_382,0.04037,0
9,11_21,0.03253,1
9,110_400,0.0318,0
9,116_413,0.0959,0
9,116_414,0.0771,0
9,116_415,0.0799,0
9,16_27,0.0536,0
9,169_545,0.0683,0
9,17_28,0.0437,0
9,170_550,0.01495,0
9,175_559,0.0372,0
9,178_684,0.06165,1
9,180_686,0.04083,0
9,184_606,0.0974,0
9,19_30,0.04492,0
9,197_649,0.1178,0
9,197_650,0.1315,0
9,219_691,0.0546,0
9,224_696,0.037,0
9,228_700,0.1514,1
9,232_704,0.01238,0
9,244_718,0.0888,0
9,259_737,0.00997,0
9,269_747,0.02586,0
9,271_749,0.03033,0
9,281_760,0.0602,0
9,42_104,0.0262,0
9,76_230,0.0265,0
9,83_244,0.03073,0
9,85_247,0.1,0
9,86_250,0.04312,0
9,88_252,0.03635,0
9,88_254,0.03204,0
10,10_20,0.05954,0
10,104_291,0.01924,0
10,105_341,0.03943,0
10,105_382,0.03004,0
10,11_21,0.02475,1
10,110_400,0.02419,0
10,116_413,0.08154,0
10,116_414,0.0645,0
10,116_415,0.0661,0
10,16_27,0.03568,0
10,169_545,0.04977,0
10,17_28,0.02817,0
10,170_550,0.01086,0
10,175_559,0.02795,0
