sample_idx,assay_id,prob,label
0,104_291,0.02533,0
0,105_341,0.02855,0
0,105_382,0.01057,0
0,16_27,0.2563,1
0,169_545,0.09106,0
0,17_28,0.1523,0
0,178_684,0.02904,0
0,180_686,0.0553,0
0,184_606,0.1757,1
0,19_30,0.1188,1
0,197_648,0.01086,0
0,228_700,0.2605,0
1,104_291,0.2006,0
1,105_341,0.10376,0
1,105_382,0.0771,0
1,16_27,0.2646,1
1,169_545,0.2098,0
1,17_28,0.2546,0
1,178_684,0.2203,0
1,180_686,0.0649,0
1,184_606,0.2356,1
1,19_30,0.1962,1
1,197_648,0.0494,0
1,228_700,0.468,0
2,197_649,0.35,1
2,197_650,0.05573,0
3,197_649,0.4236,1
3,197_650,0.0979,0
4,191_630,0.06143,0
4,198_682,0.274,0
4,219_691,0.0552,0
4,224_696,0.011375,1
4,229_701,0.393,1
4,232_704,0.2158,1
4,259_737,0.003052,0
4,281_760,0.1794,0
5,191_630,0.0636,0
5,198_682,0.1506,0
5,219_691,0.03085,0
5,224_696,0.00878,0
5,229_701,0.2644,1
5,232_704,0.03964,0
5,259_737,0.001934,0
5,281_760,0.0601,0
6,197_649,0.05792,0
6,197_650,0.03223,0
7,10_20,0.01238,0
7,104_291,0.004135,0
7,104_297,0.003325,0
7,105_341,0.004383,0
7,105_382,0.00415,0
7,105_391,0.002705,0
7,11_21,0.004383,0
7,110_400,0.00693,0
7,16_27,0.003635,0
7,169_545,0.007206,0
7,17_28,0.003443,0
7,170_550,0.001655,0
7,175_559,0.003525,0
7,178_684,0.02141,0
7,180_686,0.003456,0
7,184_606,0.02817,0
7,19_30,0.003351,0
7,200_658,0.00279,0
7,228_700,0.1126,0
7,37_74,0.004925,0
7,42_104,0.003496,0
7,7_10,0.009056,0
7,70_211,0.00228,0
7,76_230,0.002867,0
7,78_237,0.004166,0
7,82_243,0.002663,0
7,83_244,0.005062,0
7,85_247,0.00512,0
7,86_250,0.008514,0
7,88_252,0.004627,0
7,88_254,0.00589,0
7,92_258,0.03056,0
8,10_20,0.00669,0
8,104_291,0.002693,0
8,105_341,0.002192,0
8,105_382,0.002323,0
8,11_21,0.003298,0
8,110_400,0.00522,0
8,116_413,0.007233,0
8,116_414,0.005936,0
8,116_415,0.00639,0
8,16_27,0.006313,0
8,169_545,0.02338,0
8,17_28,0.006565,0
8,170_550,0.001861,0
8,175_559,0.002035,0
8,178_684,0.0265,0
8,180_686,0.001912,0
8,184_606,0.02513,0
8,19_30,0.003736,0
8,197_648,0.004314,0
8,197_649,0.007374,0
8,197_650,0.011734,0
8,198_682,0.002028,0
8,219_691,0.00549,0
8,224_696,0.004116,0
8,228_700,0.04303,1
8,232_704,0.001889,0
8,244_718,0.00582,0
8,271_749,0.002472,0
8,281_760,0.002165,0
8,42_104,0.003443,0
8,76_230,0.002935,0
8,78_237,0.004944,0
8,83_244,0.006985,0
8,85_247,0.00227,0
8,86_250,0.01704,0
8,88_252,0.003197,0
8,88_254,0.004055,0
9,197_649,0.0371,0
9,197_650,0.02136,0
10,10_20,0.01187,0
10,104_291,0.003765,0
10,104_297,0.002958,0
10,105_341,0.004314,0
10,105_382,0.004005,0
10,105_391,0.002443,0
10,11_21,0.003855,0
10,110_400,0.00693,0
10,16_27,0.003363,0
10,169_545,0.007175,0
10,17_28,0.003124,0
10,170_550,0.001623,0
10,175_559,0.00418,0
10,178_684,0.01778,0
10,180_686,0.003124,0
10,184_606,0.02386,0
10,19_30,0.002935,0
10,200_658,0.002443,0
10,228_700,0.0888,0
10,37_74,0.005344,0
10,42_104,0.002878,0
10,7_10,0.0093,0
10,70_211,0.002192,0
10,76_230,0.002855,0
10,78_237,0.00396,0
10,82_243,0.002632,0
10,83_244,0.00452,0
10,85_247,0.004627,0
10,86_250,0.007755,0
10,88_252,0.00468,0
10,88_254,0.00582,0
10,92_258,0.0371,0
11,10_20,0.008095,0
11,104_291,0.002443,0
11,105_341,0.00198,0
11,105_382,0.002157,0
11,11_21,0.003593,0
11,110_400,0.006462,0
11,116_413,0.01666,0
11,116_414,0.01229,0
11,116_415,0.01363,0
11,16_27,0.01082,0
11,169_545,0.04822,0
11,17_28,0.011246,0
11,170_550,0.001949,0
11,175_559,0.002653,0
11,178_684,0.05966,0
11,180_686,0.002132,0
11,184_606,0.03574,0
11,19_30,0.00433,0
11,197_648,0.00752,0
11,197_649,0.01297,0
11,197_650,0.01791,0
11,198_682,0.002296,0
11,219_691,0.00902,0
11,224_696,0.0047,0
11,228_700,0.0628,1
11,232_704,0.001831,0
11,244_718,0.00715,0
11,271_749,0.002243,0
11,281_760,0.002115,0
11,42_104,0.002846,0
11,76_230,0.003403,0
11,78_237,0.00518,0
11,83_244,0.007755,0
11,85_247,0.002611,0
11,86_250,0.0277,0
11,88_252,0.00289,0
11,88_254,0.004116,0
12,197_649,0.05624,0
12,197_650,0.04578,0
13,10_20,0.03114,0
13,104_291,0.3052,0
13,105_341,0.1527,1
13,105_382,0.1979,0
13,116_413,0.0356,0
13,116_414,0.03436,0
13,116_415,0.03677,0
13,16_27,0.839,0
13,169_545,0.725,0
13,17_28,0.838,0
13,178_684,0.12244,0
13,180_686,0.0611,0
13,184_606,0.1603,1
13,19_30,0.644,0
13,191_630,0.4004,0
13,198_682,0.1011,1
13,219_691,0.03436,0
13,224_696,0.00874,0
13,228_700,0.2505,1
13,229_701,0.248,0
13,232_704,0.1388,1
13,244_718,0.014786,0
13,259_737,0.01525,0
13,271_749,0.1693,0
13,281_760,0.1262,0
15,10_20,0.01155,0
15,104_291,0.01956,0
15,104_297,0.01462,0
15,105_341,0.01704,0
15,105_382,0.02338,0
15,105_391,0.007786,0
15,110_400,0.0116,0
15,116_413,0.005405,0
15,116_414,0.0047,0
15,116_415,0.00508,0
15,169_545,0.1184,0
15,178_684,0.1136,0
15,180_686,0.007317,0
15,184_606,0.1472,0
15,191_630,0.00598,0
15,197_649,0.007668,0
15,197_650,0.009125,0
15,198_682,0.00549,0
15,228_700,0.4841,0
15,229_701,0.0437,0
15,232_704,0.004215,0
15,244_718,0.006615,0
15,271_749,0.00598,0
15,281_760,0.00861,0
15,37_74,0.01224,0
15,7_10,0.007935,0
15,70_211,0.01045,0
15,83_244,0.0052,0
15,92_258,0.2172,0
17,110_400,0.02187,0
17,191_630,0.01099,0
17,191_675,0.001995,0
17,198_682,0.02414,0
17,219_691,0.01317,0
17,224_696,0.00387,0
17,229_701,0.04724,0
17,232_704,0.00715,0
17,244_718,0.0044,0
17,259_737,0.001484,0
17,269_747,0.01267,0
17,271_749,0.008125,0
17,281_760,0.00993,0
17,70_211,0.01401,0
17,83_244,0.00472,0
17,88_252,0.0161,0
18,191_630,0.1289,0
18,198_682,0.01584,0
18,219_691,0.1065,0
18,224_696,0.002993,1
18,229_701,0.1836,0
18,232_704,0.02748,0
18,244_718,0.01758,0
18,259_737,0.00124,0
18,269_747,0.02382,0
18,271_749,0.0945,0
18,281_760,0.113,0
19,105_391,0.01764,0
19,110_400,0.03044,0
19,16_27,0.02254,0
19,169_545,0.05698,0
19,17_28,0.03235,0
19,170_550,0.01099,0
19,19_30,0.01543,0
19,191_630,0.01984,0
19,198_682,0.02718,0
19,219_691,0.02199,0
19,224_696,0.011734,0
19,229_701,0.04224,0
19,232_704,0.009056,0
19,244_718,0.0476,0
19,259_737,0.005665,0
19,271_749,0.013535,0
19,281_760,0.014336,0
19,37_74,0.01678,0
19,7_10,0.02513,0
19,70_211,0.02303,0
19,76_230,0.01653,0
19,78_237,0.03125,0
19,82_243,0.0184,0
19,83_244,0.025,0
19,85_247,0.03754,0
19,88_252,0.0159,0
19,88_254,0.01752,0
19,92_258,0.05856,0
20,191_630,0.00729,0
20,191_675,0.004646,0
20,198_682,0.0778,0
20,219_691,0.010735,0
20,224_696,0.004906,0
20,229_701,0.04297,0
20,232_704,0.01333,0
20,259_737,0.003736,0
20,271_749,0.0277,1
20,281_760,0.02002,0
21,191_630,0.004593,0
21,219_691,0.035,0
21,224_696,0.004868,0
21,229_701,0.01653,0
21,269_747,0.00445,0
21,271_749,0.00508,0
21,281_760,0.00649,0
22,191_630,0.04544,0
22,198_682,0.07465,0
22,219_691,0.01823,0
22,224_696,0.005665,0
22,229_701,0.07825,0
22,232_704,0.008446,0
22,244_718,0.01456,0
22,259_737,0.002174,0
22,269_747,0.02785,0
22,271_749,0.01738,1
22,281_760,0.02267,0
23,191_630,0.03812,0
23,198_682,0.1058,0
23,219_691,0.02347,0
23,224_696,0.003885,0
23,229_701,0.1835,1
23,232_704,0.00644,0
23,244_718,0.0677,0
23,269_747,0.0942,0
23,271_749,0.05005,1
23,281_760,0.02942,0
24,191_630,0.0555,0
24,198_682,0.1483,0
24,219_691,0.0265,0
24,224_696,0.0042,0
24,229_701,0.3013,1
24,244_718,0.04385,0
24,259_737,0.002083,0
24,269_747,0.0914,0
24,271_749,0.047,1
24,281_760,0.03174,0
25,191_630,0.0164,0
25,198_682,0.02194,0
25,219_691,0.01178,0
25,224_696,0.003351,0
25,229_701,0.0821,0
25,232_704,0.00803,0
25,244_718,0.007725,0
25,259_737,0.001179,0
25,269_747,0.01744,0
25,281_760,0.01192,0
26,191_630,0.0379,0
26,198_682,0.1011,0
26,219_691,0.0189,0
26,224_696,0.004665,0
26,229_701,0.2229,1
26,232_704,0.01799,0
26,244_718,0.0446,0
26,269_747,0.0895,0
26,271_749,0.11615,1
26,281_760,0.0464,0
27,191_630,0.0649,0
27,198_682,0.1188,0
27,219_691,0.02948,0
27,224_696,0.004944,0
27,229_701,0.3374,1
27,244_718,0.07007,0
27,259_737,0.001484,0
27,269_747,0.04233,0
27,271_749,0.01869,1
27,281_760,0.01692,0
28,191_630,0.01053,0
28,198_682,0.01602,0
28,219_691,0.01021,0
28,224_696,0.002811,0
28,229_701,0.0709,0
28,232_704,0.004944,0
28,244_718,0.0093,0
28,259_737,0.001078,0
28,269_747,0.01307,0
28,281_760,0.008156,0
29,10_20,0.01078,0
29,104_291,0.00378,0
29,104_297,0.002714,0
29,105_341,0.00254,0
29,105_382,0.00316,0
29,105_391,0.0022,0
29,11_21,0.007175,0
29,110_400,0.04352,1
29,116_413,0.0543,0
29,116_414,0.02002,0
29,116_415,0.0286,0
29,16_27,0.02942,0
29,169_545,0.10034,0
29,17_28,0.07355,0
29,170_550,0.002705,0
29,175_559,0.003975,0
29,178_684,0.0977,0
29,180_686,0.003338,0
29,184_606,0.0483,0
29,19_30,0.01971,0
29,191_630,0.006004,0
29,198_682,0.005062,0
29,200_658,0.0022,0
29,219_691,0.0203,0
29,224_696,0.006565,0
29,228_700,0.112,0
29,229_701,0.051,0
29,232_704,0.00215,0
29,244_718,0.015305,0
29,259_737,0.001727,0
29,269_747,0.002693,0
29,271_749,0.005512,0
29,281_760,0.003944,0
29,37_74,0.00435,0
29,42_104,0.002531,0
29,7_10,0.01107,0
29,70_211,0.014786,0
