assay_id,ASSAY_NAME,ASSAY_TYPE,auroc,auroc_95ci_lower,auroc_95ci_upper,auroc_gt_0.9,auroc_gt_0.8,auroc_gt_0.7,auroc_gt_0.5,global_mean_auroc,Total_Samples,Positive_Count,Negative_Count,count_valid_tasks
10_20,BacterialViability.FluorProt.485/538,bacterial,0.8493377483443709,0.7445961621403528,0.9358487992238124,False,True,True,True,0.7319072638012903,64,3,61,54
104_291,MODYCellProfiling.FluorDye.Resazurin,cell,0.9583333333333336,0.9241986396220266,0.9847354054561382,True,True,True,True,0.7319072638012903,53,10,43,54
104_297,MODYCellProfiling.FluorDye.Resazurin,cell,1.0,1.0,1.0,True,True,True,True,0.7319072638012903,34,3,31,54
105_341,MODYCellProfiling.Lumin.CTG,cell,0.9982344632768362,0.9932998225365242,1.0,True,True,True,True,0.7319072638012903,53,14,39,54
105_382,MODYCellProfiling.Lumin.CTG,cell,0.9835698282300224,0.964412354747455,0.9954550865800864,True,True,True,True,0.7319072638012903,53,15,38,54
105_391,MODYCellProfiling.Lumin.CTG,cell,0.8460111317254174,0.764378478664193,0.9243303303303304,False,True,True,True,0.7319072638012903,34,3,31,54
11_21,BacterialViability.Lumin.BTG,bacterial,0.4870283018867924,0.3578640350877193,0.620533355063016,False,False,False,False,0.7319072638012903,33,3,30,54
110_400,NOXFamilySignaling.FluorDye.AmplexRed,cell,0.5576923076923076,0.3524675035612536,0.7619014362373737,False,False,False,True,0.7319072638012903,168,5,163,54
116_413,Phosphodiesterase.Absorb.600,yeast,0.7280701754385965,0.5830639730639731,0.8545412157730775,False,False,True,True,0.7319072638012903,57,3,54,54
116_414,Phosphodiesterase.Absorb.600,yeast,0.875,0.8098973417155235,0.9328332734459216,False,True,True,True,0.7319072638012903,57,1,56,54
116_415,Phosphodiesterase.Absorb.600,yeast,0.9490489130434784,0.8965420315635833,0.9859646654644943,True,True,True,True,0.7319072638012903,39,7,32,54
16_27,BetaCateninSignaling.FluorDye.PosNucW2_Int,cell,0.8730604601391118,0.8092988559059988,0.9261204224065676,False,True,True,True,0.7319072638012903,62,13,49,54
169_545,WntSignalling.Lumin.Lux-Duo,cell,0.7738425925925926,0.7057169328574804,0.837103626042632,False,False,True,True,0.7319072638012903,74,6,68,54
17_28,BetaCateninSignaling.FluorDye.PosW2,cell,0.8457207207207207,0.7798045192847781,0.909197247706422,False,True,True,True,0.7319072638012903,51,1,50,54
170_550,WntSignalling.Lumin.Lux-FF/Ren,cell,0.8719999999999999,0.8006818181818182,0.9280230596175478,False,True,True,True,0.7319072638012903,52,5,47,54
175_559,YeastGrowthInhibition.Absorb.600,cell,0.8315217391304348,0.7323498131647025,0.913454157782516,False,True,True,True,0.7319072638012903,31,1,30,54
178_684,MITF,cell,0.8233059022719219,0.7788175105920949,0.867476617087003,False,True,True,True,0.7319072638012903,953,68,885,54
180_686,AntifungalDrugResistance,fungal,0.6118972746331237,0.5196461667935847,0.6936051649325004,False,False,False,True,0.7319072638012903,597,51,546,54
184_606,STK33,cell,0.8635355029585798,0.8272602697988407,0.8935259549312413,False,True,True,True,0.7319072638012903,952,78,874,54
19_30,BetaCateninSignaling.FluorDye.TotPos,cell,0.8515570934256056,0.7697092822636302,0.918024569542538,False,True,True,True,0.7319072638012903,51,10,41,54
191_630,MLPCNRanGTPinhibitor,biochem,0.7943479295573537,0.7331047941893706,0.8493729359337282,False,False,True,True,0.7319072638012903,2764,46,2718,54
191_675,MLPCNRanGTPinhibitor,biochem,0.5602844406707705,0.3343900359285203,0.7637259259259259,False,False,False,True,0.7319072638012903,1072,9,1063,54
197_648,LSD1,biochem,1.0,1.0,1.0,True,True,True,True,0.7319072638012903,94,4,90,54
197_649,LSD1,biochem,0.8268531813694695,0.7874117462930376,0.8643264689715516,False,True,True,True,0.7319072638012903,1830,208,1622,54
197_650,LSD1,biochem,0.909887371477906,0.8773035976915309,0.9395305861975224,True,True,True,True,0.7319072638012903,1830,90,1740,54
198_682,MLPCNBetaCellApoptosis,cell,0.5816983695652174,0.533741364814865,0.6278359520006219,False,False,False,True,0.7319072638012903,1781,122,1659,54
200_658,LSC,cell,0.6178571428571429,0.4175520833333333,0.7843487394957983,False,False,False,True,0.7319072638012903,24,4,20,54
217_689,MLPCN Streptokinase expression,bacterial,0.7128983995388036,0.6435162976203224,0.7744841212254936,False,False,True,True,0.7319072638012903,1652,68,1584,54
219_691,MLPCN RTT109,biochem,0.6768309641532757,0.6022207062738805,0.7582838866169004,False,False,False,True,0.7319072638012903,1854,33,1821,54
224_696,MLPCN Topoisomerase 1 Y. pestis,bacterial,0.5290037831021438,0.4695052723131659,0.5889056729098343,False,False,False,True,0.7319072638012903,2232,99,2133,54
228_700,Sonic hedgehog signalling,biochem,0.517184388689765,0.4431858514925205,0.5879266110674103,False,False,False,True,0.7319072638012903,781,58,723,54
