assay_id,max_similarity,nearest_train_neighbor,ASSAY_TYPE,auroc,type_key
10_20,0.7646046280860901,181_600,bacterial,0.1707367549668874,bacterial
104_291,0.9380979537963867,104_300,cell,0.7661210317460319,cell
104_297,0.9427767992019653,104_295,cell,0.9983552631578948,cell
105_341,0.8963083028793335,105_374,cell,0.7796610169491526,cell
105_382,0.9396382570266724,105_378,cell,0.8010953447846652,cell
105_391,0.913634717464447,105_369,cell,0.8552875695732839,cell
11_21,0.64242023229599,11_22,bacterial,0.7311320754716981,bacterial
110_400,0.9319583177566528,110_397,cell,0.3748798076923076,cell
116_413,0.9584887027740479,116_412,yeast,0.3230994152046783,fungal
116_414,0.9546525478363037,116_424,yeast,0.1345338983050847,fungal
116_415,0.9390250444412231,116_425,yeast,0.7241847826086957,fungal
16_27,0.9107545018196106,15_26,cell,0.6807116104868913,cell
169_545,0.8033700585365295,169_549,cell,0.671141975308642,cell
17_28,0.9173627495765686,12_23,cell,0.9380630630630632,cell
170_550,0.9154087901115417,170_551,cell,0.87575,cell
175_559,0.8160438537597656,118_432,cell,0.6630434782608696,cell
178_684,0.7361717820167542,234_707,cell,0.8323883398301637,cell
180_686,0.8241138458251953,179_659,fungal,0.671065438754118,fungal
184_606,0.7151814699172974,187_619,cell,0.8451564461179846,cell
19_30,0.9068835973739624,15_26,cell,0.6961937716262976,cell
191_630,0.6967586278915405,240_714,biochem,0.7080318895763922,biochem
191_675,0.6886107921600342,239_713,biochem,0.4672044151984716,biochem
197_648,0.9231737852096558,197_646,biochem,0.8174715909090909,biochem
197_649,0.899880588054657,197_647,biochem,0.7504795611594722,biochem
197_650,0.9187265634536743,197_646,biochem,0.844105643199121,biochem
198_682,0.7764749526977539,192_635,cell,0.6637669836956522,cell
200_658,0.5774832963943481,216_687,cell,0.7428571428571429,cell
217_689,0.8631843328475952,217_688,bacterial,0.7682282372965108,bacterial
219_691,0.7161063551902771,267_745,biochem,0.6145009270704573,biochem
224_696,0.6738248467445374,181_600,bacterial,0.5506489071038251,bacterial
228_700,0.5757848024368286,275_754,biochem,0.5863500597371565,biochem
229_701,0.680755615234375,217_688,cell,0.762955579138872,cell
232_704,0.7988092303276062,232_705,cell,0.7748922344622586,cell
244_718,0.6459294557571411,227_699,biochem,0.582812150218071,biochem
247_721,0.6526703834533691,220_692,biochem,0.4921262076483149,biochem
250_726,0.6944589614868164,249_724,cell,0.5838897771090003,cell
259_737,0.8158769607543945,258_736,biochem,0.2765175110741971,biochem
268_746,0.5851259231567383,108_394,biochem,0.5678132142811538,biochem
269_747,0.7376159429550171,26_37,cell,0.6514018640874808,cell
271_749,0.7164999842643738,169_549,cell,0.7114852922098982,cell
281_760,0.6493037939071655,264_742,cell,0.673876698014629,cell
37_74,0.9166009426116943,37_77,cell,0.7642512077294685,cell
42_104,0.7585301995277405,42_103,cell,0.8387755102040817,cell
7_10,0.9268838763237,7_11,bacterial,0.680921052631579,bacterial
70_211,0.6664929389953613,274_752,cell,0.9603960396039604,cell
76_230,0.641933023929596,100_277,biochem,0.4244186046511628,biochem
78_237,0.5196355581283569,100_277,cell,0.7639751552795031,cell
82_243,0.8029308915138245,82_242,cell,0.7571428571428571,cell
83_244,0.8596969842910767,83_245,biochem,0.402892561983471,biochem
85_247,0.8023011684417725,85_248,cell,0.5817166372721928,cell
86_250,0.8801009654998779,86_249,cell,0.1956521739130435,cell
88_252,0.6567498445510864,153_510,cell,0.7403314917127072,cell
88_254,0.5725885629653931,194_639,cell,0.8857033639143731,cell
92_258,0.8991810083389282,91_257,cell,0.5532036613272311,cell
